syn_id,syn_def,syn_lemmas
syn_000001,一切、全部。,所有;諸
syn_000002,一種嗜好，用嘴吸入點燃菸草製品所產生的煙。,吸菸;吸煙;抽煙;抽菸
syn_000003,上半身靠在後述對象上，把重量由物體或他人支撐。,伏;趴
syn_000004,上文未提到的同類指涉。,另;另外
syn_000005,上級命令下級執行所描述的事件。,示;指示
syn_000006,上級帶領下級做後述事件。,率領;率;部;帶;領;帥
syn_000007,上級要求後述對象前來。,招;召
syn_000008,下象棋時，捕捉對方的將棋或帥棋前的提醒語。,將;將軍
syn_000009,不允許後述事件發生。,不容;不許
syn_000010,不再為原本努力的後述對象堅持。,棄;放棄;廢
syn_000011,不加修改地仿造。,照抄;拷;摳
syn_000012,不喜歡。,討厭;煩;惡;厭惡
syn_000013,不在前述對象所包含的空間範圍。,以外;之外;外;外面
syn_000014,不在前述的機構或領域範圍。,以外;之外;外;外面
syn_000015,不接受後述對象。,拒;拒絕;抗
syn_000016,不擁有後述對象。,沒;無;沒有
syn_000017,不斷地對人進行觀念灌輸，改變其原有的思想和態度，以達到特定目的。,洗腦;催眠
syn_000018,不滿足地追求各種事物。,貪;嗜
syn_000019,不真實地想像後述對象。,幻想;幻
syn_000020,不確定數量。,多少;若干
syn_000021,表不確定的小數量。,一點;些;點兒;一些;點;少許;些許;點點;一點兒;一點點;有些
syn_000022,不給予應有的重視。,忽視;輕視
syn_000023,不繼續做後述動作。,停;停止
syn_000024,不講理地吵鬧或提出要求。,歡;番
syn_000025,不贊成前述的作法。,;不以為然
syn_000026,不走近路，而走比較遠的路。,繞道;繞
syn_000027,不遵守後述規定或不履行承諾。,違背;背;違反
syn_000028,不遵守約定或上級規定的規則。,犯規;違規;犯
syn_000029,不顧原本對後述對象的責任，主動切斷與之間的連結。,遺棄;拋棄;背棄;離棄
syn_000030,丟掉廢棄物。,扔;丟;擲
syn_000031,中國古代文體之一，內容為臣下進呈君王的文書。,奏;啟
syn_000032,主事者不讓自己被發現。,藏;躲
syn_000033,主事者兩掌互擊發出聲音，用來表示歡迎或讚美。,鼓掌;鼓
syn_000034,主事者原本不擁有的後述對象變成主事者的。,入手;獲;獲得;得;得到
syn_000035,主事者或外在條件持續給予壓力以使他人順從。,逼;逼迫;逼使;迫;驅
syn_000036,主事者抬高四肢。,翹;蹺
syn_000037,主事者用手施力使特定物體離開手部往施力方向運動。,拽;扔;丟;擲
syn_000038,主事者的一隻腳交疊置於自己的另一隻腳上。,翹;蹺
syn_000039,主事者給予壓力導致他人順從。,強迫;強
syn_000040,主事者自言自語，重複說相同的內容。,念;唸
syn_000041,主動不要特定資格或權益。,棄;放棄;拋棄;棄權
syn_000042,主動察覺原來未知的後述對象。,揭;發現
syn_000043,主動對敵人進行武力行動。,攻;攻擊;擊;進攻
syn_000044,主觀做出後述判斷。,知道;曉得;說;知
syn_000045,主觀認為選擇做後述事件比較好。,寧願;寧可;寧肯;毋寧;寧
syn_000046,了解後述事件的重要性並能夠執行。,知道;曉得;知
syn_000047,了解特定事件的意義。,知道;曉得;懂;懂得;知
syn_000048,事件依既定順序在其序位發生。,輪到;輪
syn_000049,根據已經知道的事實所斷定的結論。,推斷;推論
syn_000050,比喻醫生幫病人所進行的侵入性治療。,刀;開刀
syn_000051,表演藝術的一次呈現。,演出;表演
syn_000052,事件情況與原來的不同。,轉變;改變
syn_000053,事件或時間順序在參考點之後。,下;次
syn_000054,事件或狀態到特定時點終止。,結束;終;閉;完
syn_000055,事件或狀態從頭或特定時點起。,開始;始;開
syn_000056,事件發生經歷後述時段。,歷時;歷經;經歷;閱;歷
syn_000057,事件裡處於相對地位的兩個人或兩團體的代稱。,雙方;兩造
syn_000058,事先核准後將後述證件或執照給特定對象。,發放;發;發出
syn_000059,事後認為已經做的決定或事情是不應該做的。,後悔;悔;懊悔
syn_000060,事物的全體。,全部;整;滿;全;一;壹;舉;渾
syn_000061,事物起始於特定時間或地點並發展。,發源;源自
syn_000062,互相以語言交換訊息。,交談;談話
syn_000063,五指向掌心彎曲合攏。,握;攥
syn_000064,交出職務或政權。,下台;下臺
syn_000065,交回、歸還。,還;璧
syn_000066,亮光晃動不定、一下亮一下暗。,耀;閃
syn_000067,人以外的動物發出聲音。,叫;喚
syn_000068,人以大聲量發聲。,叫;喚
syn_000069,人以大聲量說話。,呼;喊;吶
syn_000070,人們在約定俗成的固定時間內吃正餐。,吃飯;進餐;食
syn_000071,人工開發或製成後述商品，通常是規模大、數量多。,產;生產
syn_000072,人或物公開於大眾面前。,登台;登臺
syn_000073,仔細察看以確定特定對象是否有問題。,檢;檢查
syn_000074,仔細察看特定對象。,觀察;看看;看;觀
syn_000075,仔細察看特定對象，強調動作的結果。,看到;見到
syn_000076,仔細觀察，做為判斷或決定的標準。,相;看看;看;卜
syn_000077,付出費用以換取等值特定對象。,付;付費
syn_000078,付出金錢。,用;使;花錢;開;使用
syn_000079,付出金錢以取得物品的所有權。,買下來;買下;置;購;購買;買
syn_000080,做，取代整個事件。,幹;鬧;進行;為;行;作;弄;做
syn_000081,代指一個家庭中的所有成員。,合家;一家子;闔家;家人
syn_000082,代指上文中已提過的對象。,那;這
syn_000083,代指並舉的兩種對象中次序在後的那一個。,後者;后者
syn_000084,代指主事者。,自己;身;己;自
syn_000085,代指人對自身的意識與認知。,自我;自己;己
syn_000086,代指他們兩個人。,他們倆;他倆
syn_000087,代指任何一個不確定的對象。,那;這
syn_000088,代指任何一個時間，但不確定事件是否發生。,哪;那
syn_000089,代指任何人。,誰;君;你
syn_000090,代指前述事件。,如此;然
syn_000091,代指前述對象家中的兄弟。,伯仲;昆仲
syn_000092,代指單數的聽話者。,汝;您;儂;你;子
syn_000093,代指在前述對象中，不確定的一個。,哪;那
syn_000094,代指年輕而關係像夫婦一樣親密的男女。,小兩口兒;小倆口
syn_000095,代指沒有指名的後述對象。,某;某某
syn_000096,代指男性說話者自己，帶有狂妄的語氣。,老子;爺
syn_000097,代指當事人。,本人;個人
syn_000098,代指聽話者。,閣下;大駕;君;鈞座;夫
syn_000099,代指聽話者的哥哥。,乃兄;令兄
syn_000100,代指自己所擁有的。,自個兒;自己
syn_000101,代指與說話者距離較遠的事件狀態。,那樣;那麼樣
syn_000102,代指複數的聽話者。,你們;汝等;您們;爾等
syn_000103,代指說話者。,余;咱;本人;個人;敝人;咱家;鄙人;偶;在下;予;俺;阿拉;我;愚;阮;人家
syn_000104,代指說話者和聽話者雙方。,咱;咱們;俺;阿拉;我們
syn_000105,代指說話者或聽話者以外的人。,他人;別人
syn_000106,代指說話者所擁有的。,偶;我;阮
syn_000107,代指說話者的妻子。,賢妻;賤內
syn_000108,代指說話者，為年老男子的自稱。,老夫;老漢
syn_000109,代替停頓的語氣詞。,哦;喔
syn_000110,以事物表達約定的意義。,表示;代表
syn_000111,以人工的方式養後述動物。,飼;畜
syn_000112,以他人的言行或特定事物作為依據來進行特定事件。,引;援
syn_000113,以令人恐懼不安的方式對待後述對象。,兇;凶
syn_000114,以令人恐懼的手段脅迫人。,恐嚇;威脅;嚇
syn_000115,以低姿態請求他人給予金錢或特定事物。,乞討;丐;乞
syn_000116,以儀器確定速度、長度等數值，或有關地形、地物之高低、大小等狀態。,測量;量;測
syn_000117,以兇狠的態度大聲叫喊。,喝;叱
syn_000118,以兩個身體部位將特定物體固定。,挾;夾
syn_000119,以兩腿交互向前移動，雙腳不同時離開地面。,步;走;走路;行
syn_000120,以公開、正式的方式贈予獎勵或榮譽。,頒發;頒;頒給
syn_000121,以公開方式募集特定對象加入。,招;招生
syn_000122,以刀斧等利器猛力切入特定物體。,劈;斬;砍
syn_000123,以前述事物為對象。,上;之上;上面
syn_000124,以前述對象作為談論的觀點。,說;講
syn_000125,以前述對象作為證據。,為證;徵
syn_000126,以前述對象為事件開始的基礎。,著手;入手
syn_000127,以前述方式使特定對象變得不存在或改變擁有者。,走;去
syn_000128,以前述方式維持生活的基本需求。,吃飯;維生
syn_000129,以前述的證據支持後述結論。,顯示出;顯示
syn_000130,以剪的方式把特定對象從物體上分離。,剪下;剪下來
syn_000131,以剪的方式，依特定形狀把特定對象從物體上分離。,剪下;剪下來
syn_000132,以化學方法將特定物質由物體中取出。,提出;提
syn_000133,以卑微的態度請他人幫忙。,央求;央
syn_000134,以原本狀態收藏。,留;保存
syn_000135,以口語媒介傳達訊息。,曰;說;講;道
syn_000136,以口語媒介引述或陳述訊息。,說道;謂;云
